label,track_name,artist,popularity,duration,explicit,track_genre
4,In My Car,The Pack,39,212040,True,hyphy
4,Glamorous Lifestyle,The Jacka,50,237120,True,hyphy
4,Put Me on Somethin',P-Lo,52,206226,True,hyphy
4,N.E.W Oakland,Mistah F.A.B.,45,227240,True,hyphy
4,Ho's In Here,Federation,39,289600,True,hyphy
4,Boss Tycoon,Mac Dre,42,252333,True,hyphy
4,Thizzelle Dance,Mac Dre,45,244293,True,hyphy
4,Tell Me When to Go (feat. Keak da Sneak),E-40,58,237666,True,hyphy
4,Red Nose,Sage The Gemini,0,193200,True,hyphy
4,Gas Pedal,Sage The Gemini,0,208160,True,hyphy
4,My Sh*t Bang,E-40,0,242880,True,hyphy
4,Shake That Monkey (feat. Lil' Jon & The EastSide Boyz),Too $hort,35,278786,True,hyphy
4,Blow the Whistle,Too $hort,38,163240,True,hyphy
4,Salt Shaker,Ying Yang Twins,65,252440,True,crunk
4,I Don't Fuck With You,Big Sean,0,284386,True,
4,Fellin' Myself,Mac Dre,0,224813,True,hyphy
4,Superhyphy,Keak Da Sneak,0,204906,True,hyphy
4,NoHoe,D-Lo,38,224613,True,hyphy
4,Burn Rubber,Too $hort,49,199533,True,hyphy
4,Ayy Ladies (feat. Tyga),Travis Porter,67,211293,True,
4,Booty Me Down,Kstylis,53,212920,True,new orleans bounce
4,Bring It Back,Travis Porter,67,217906,True,
4,Ms. New Booty,Bubba Sparxxx,61,252653,True,country hip hop
4,That Go feat. Prodigy & Alchemist,Keak Da Sneak,0,221453,True,hyphy
4,ICY GRL,Saweetie,42,109302,True,
4,same squad,P-Lo,47,151053,True,hyphy
4,Yay Area,E-40,49,228013,True,hyphy
4,Walk It Talk It,Migos,73,276147,True,trap
4,Plain Jane,A$AP Ferg,69,173601,True,rap
4,Thotiana,Blueface,0,129264,True,
4,My Type (feat. City Girls & Jhené Aiko) - Remix,Saweetie,61,172313,True,
4,I Don't Fuck With You,Big Sean,75,284386,True,
4,Girls in the Hood,Megan Thee Stallion,60,154323,True,
4,Tap In,Saweetie,63,139413,True,
4,3rd World Free Boski (feat. Lil Goofy),Lil Blood,44,185093,True,hyphy
4,You're a Jerk,New Boyz,53,189053,True,
4,Not Like Us,Kendrick Lamar,88,274192,True,hip hop
4,Wait (The Whisper Song),Ying Yang Twins,59,179160,True,crunk
4,I Look Good,Chalie Boy,57,251320,True,
4,Rock Yo Hips,Crime Mob,60,226546,True,crunk
4,Back That Azz Up,JUVENILE,70,265600,True,southern hip hop
4,Sliding Down the Pole (feat. Too Short),E-40,41,202360,True,hyphy
4,"Function (feat. YG, IAMSU! & Problem)",E-40,52,259200,True,hyphy
4,Choices (Yup),E-40,57,272720,True,hyphy
