label,track_name,artist,popularity,duration,explicit,track_genre
5,Toxic,Britney Spears,85,198800,False,pop
5,Gabriela,KATSEYE,94,197226,False,k-pop
5,Not Like Us,Kendrick Lamar,88,274192,True,hip hop
5,tv off (feat. lefty gunplay),Kendrick Lamar,86,220690,True,hip hop
5,Levitating (feat. DaBaby),Dua Lipa,82,203064,False,pop
5,RUMBLE,Paledusk,41,281624,True,mathcore
5,WOKE UP,XG,71,188010,False,k-pop
5,GALA,XG,74,227175,False,k-pop
5,LEFT RIGHT,XG,71,208065,False,k-pop
5,HOWLING,XG,65,188702,False,k-pop
5,PS118 - feat. Rapsody,JURIN ASAYA,61,160919,False,
5,Ripples of Past Reverie - English Ver.,HOYO-MiX,63,186671,False,soundtrack
5,Paparazzi - Instrumental,Xzibit,38,236600,False,west coast hip hop
5,euphoria,Kendrick Lamar,76,383639,True,hip hop
5,Rondo Across Countless Kalpas,HOYO-MiX,45,195333,False,soundtrack
5,Proi Proi,HOYO-MiX,60,238378,False,soundtrack
5,Flares of the Blazing Sun,HOYO-MiX,60,213691,False,soundtrack
5,WHITE NIGHT,Jake Miller,57,138755,False,
5,Speed Drive,Charli xcx,62,117809,False,hyperpop
5,Man I Am,Sam Smith,46,187764,False,soft pop
5,Dual-Ego - Honkai Impact 3rd Ost,Sa Dingding,41,188108,False,gufeng
5,Nightglow - 崩坏3印象曲,Tanya Chua,47,183468,False,mandopop
5,Wildfire,HOYO-MiX,56,218242,False,soundtrack
5,flowers(English version),Hana Hope,35,260212,False,anime
5,SHOOTING STAR,XG,69,203556,False,k-pop
5,Tippy Toes,XG,60,188213,False,k-pop
5,MASCARA,XG,63,191439,False,k-pop
5,TGIF,XG,60,171240,False,k-pop
5,WINTER WITHOUT YOU,XG,61,243520,False,k-pop
5,IYKYK,XG,60,180000,False,k-pop
5,hey now (feat. dody6),Kendrick Lamar,74,217478,True,hip hop
5,reincarnated,Kendrick Lamar,72,275740,True,hip hop
5,heart pt. 6,Kendrick Lamar,73,292461,True,hip hop
5,gloria (with sza),Kendrick Lamar,71,287522,True,hip hop
5,"Moon Halo - Honkai Impact 3Rd ""Everlasting Flames"" Animated Short Theme",HOYO-MiX,56,204054,False,soundtrack
5,bad guy,Billie Eilish,83,194087,False,
5,Alejandro,Lady Gaga,76,274213,False,art pop
5,Da Capo,HOYO-MiX,52,134594,False,soundtrack
5,Before my body is dry,Sawano Hiroyuki,29,248266,False,anime
5,The Cruel Angel's Thesis (Director's Edit Version),高橋　洋子,64,245093,False,city pop
5,Magia,Kalafina,44,313586,False,anime
5,Lady Maria of the Astral Clocktower,SIE Sound Team,45,286932,False,japanese vgm
5,Lady Maria of the Astral Clocktower,SIE Sound Team,45,286932,False,japanese vgm
